ID	발행연월	록키 워드 
418	2011	시대 화두 스마트폰 인간 문화 매개 문화 인터페이스 관점 바라 내재 재매개 현상 고찰 재매개 이론 미디어 융합 매개 스마트폰 미디어 함의 파악 이론 문화 인터페이스 이론 부호화 개념 이론 공통 이론 문화 인터페이스 관점 스마트폰 재매개 화 현 다음 문화 인터페이스 스마트폰 사용자 개념 변화 변화 양상 시공간 미 시적 조정 다 의적 항시 연결 공적 의미 역할 변화 파악 스마트폰 사용자 환경 사이 형성 사용자 환경 상호작용 물리 사용자 행동 본질 규정 행위 매개 재매개 현상 암묵 상호작용 지속 명시 상호작용 자로 사용자 매개 사용자 재매개 특성 사용자 각종 정보 텍스트 재매개 스마트폰 텍스트 관리 송수신 텍스트 에이전트 재매개 텍스트 재매개 현상 결과 디자이너 기존 개념 사용자 개념 스마트폰 인터페이스 관점 제공 스마트폰 기반 콘텐츠 제작 방향성 제시 기대 
419	2010	오늘날 점증 근대 현상 관련 분야 상실 무장 소성 담론 회자 상황 철학 분야 철학 인접 학문 응용 학문 분야 교육학 심리학 지리학 건축학 도시공학 관 광학 조경학 체학 예술 실존 현상학 포스트모던 논의 전개 담론 홍수 존재론 정초 철학 성찰 요구 하이데거 존재 물음 궤 존재 물음 존재 진리 거주 사물 사방 세계 문제 본고 하이데거 존재 토폴로지 주제 존재 토폴로지 개념 파악 장 소론 이전 숙고 사유 표상 대상 사유 근원 현상 존재 진리 존재 토포스 파악 진리 사건 자리 시간 놀이 파악 하이데거 입장 주목 본고 하이데거 토포스 토폴로지 문제의식 사유 틀 존재 토폴로지 유래 존재 토폴로지 의의 차례 하이데거 존재 토폴로지 의미 토포스 사방 시간 놀이 
420	2013	목적 부산 로케이션 영화 식민 비판 로컬 문화 윤리학 성찰 제시 부산 로케이션 영화 시대 변화 해방 이후 70년대 부산 로케이션 영화 90년대 부산 로케이션 영화 2000년대 이후 부산 로케이션 영화로 구분 시대 변화 2000년대 이후 부산 로케이션 영화 민성 특징 중점 식민 영화 지역 관객 교감 필요 민화 오리엔탈리즘 타자 윤리 조우 로컬 문화 윤리 문제 맥락 영화 주체 위치 부산 촬영 영화 추궁 부산 촬영 영화 부산 재현 질문 제기 질문 부산 방식 식민 부재 표현 부재 물음 식민주의 문제 로컬 문화 윤리 입장 부산 로케이션 영화 성찰 부산 로 컬리 티 로케이션 영화 문화 윤리 식민주의 
421	2016	90년대 이래 도시 점거 신자유주의 자본 장악 도시 활기 의미 부여 저항 전술 출현 2011년 9월 11월 사이 지구 점령 전개 점거 운동 국경 문화 형식 구애 액체 저항 갈등 협력 행동주의 구현 연대 공동체 표명 전 지구 차원 사고 로컬 차원 행동 로 컬리 티 기본 명제 구성 헤게모니 실천 사례 로컬 지구의 관계 규모 한정 분석 시민 행동 행동주의 개인 후기자본주의 정치 양상 정치지리학 주목 주 코티 파크 점령 사건 중심 사례 다음 지점 주목 점령 운동 지배 계급 사적 점유 대안 공유 생성 상호 차이 유대감 소집단 회의 총회 조율 확인 점 주목 점거 운동 조직 권력 유지 구조 확보 극 수행성 순간 관심 점 점거 자 구호 기호 차이 반복 재현 재현 수행성 사회 생산 정치 수행성 지리학 성찰 민주주의 실현 목표 삼은 활동가 현실 비판 저항 이념 실천 행동 검토 결과 일상 정치 행위 실천 규범 반복 민주주의 주권 정치 주체성 생성 과정 한계 탐색 점령 운동 자본 장악 도시 정상 배치 거래 유통 공공 기능 전복 기존 확보 논리 우회 민중 힘 물질 인터넷 트위터 적극 선전 정치 효과 극대 점거 개방 집회 총회 민중 확성기 발언 자 추첨 토론 유지 일상 활동 급진 평등 실천 능동 수행 직접 민주주의 실현 출현 지배 공적 통제 도전 천막 야영 인터넷 배 예술 활동 작업 외부 자와 잠재 지원자 결속력 자발 질서 구현 증거 가시 정체성 제공 조직 활동 지도자 계서 형식 수평 형식 계급 교육 수준 종족 섹슈얼리티 성별 구성원 사이 위계 계서 가부장 물 신화 존재 역설 점령 정치 합의 정당 정치 정체성 정치 전통 혁명 정치 양식 거리 유지 기존 국가 구조 통제 장악 목표 전체 사회 정치 구조 정당 도전 운동 유지 필요 특수 요구 강령 이념 구조 틀 부과 거부 의식 행동 노선 출현 개방 자세 유지 점령 사건 실체 상상 공동체 사고 계기 제공 점령 공적 공통 체 수행성 민주주의 실체 상상 공동체 
422	2014	근대 시와 로 컬리 티 관계 주목 1920년대 시 근대성 서구 영향 이전 서도 로 컬리 티 상관 점 피력 범위 제한 서도 출신 시인 시적 의도 시 의식 천착 시적 표상 서도 로 컬리 티 재현 양상 한정 근대 초기 서도 시인 로 컬리 티 규명 근대 시인 시 의식 관련 내재 요인 차후 규명 본고 낯선 개념 서도 의미 구체 서도 출신 시인 대상 근대 시의 특징 상당 부분 서도 로 컬리 티 관련 논 논거 시인 근대 초기 시적 감각 표출 김소월 주요한 김동환 이다 1920년대 한국 근대 시의 서정 시 형식 변화 주도 시인 평가 근대 초기 시적 특장 서도 로 컬리 티 판단 서도 로 컬리 티 서도 지역 관장 언어 문화 풍습 민속 특유 서정 정서 서도 로 컬리 티 검토 요소 대상 서도 특유 근대 시의 표상 결정 외부 요인 작용 점 규명 내용 요약 다음 서도 발견 출발 서도 평안도 황해도 함경도 포괄 지금 북한 지역 관서 지역 포함 지역 서북 전통 음악 분과 통합 서도 음악 서도소리 특성 문학 음악 영역 지역 서도 통합 명명 무리 판단 김소월 주요한 김동환 근대 신지식인 그룹 형성 서도 출신 시인 중심 서도 로 컬리 티 재현 방식 구체 제시 논거 김소월 시 근대 요소 기여 감정 적극 발화 시어 운율 서도 풍습 음악 언어 관련 주요한 경우 최초 자유시 불 놀이 표출 근대 시 형식 엮음 수심 토리 형식 바가 규명 김동환 국경의 밤 은 대륙 서도 지역 기개 특유 함경도 언어 활용 서사시 시 형식 탄생 내용 토대 1920년대 한국 근대 시의 서도 로 컬리 티 시적 표상 의의 가치 재고 서도 로 컬리 티 근대 시의 표상 인식 필요 본고 1920년대 시인 근대 시도 서도 로 컬리 티 한국 근대 시의 형성 과정 시각 재고 기대 근대 시적 표상 서도 서도 로 컬리 티 서도 언어 서도 민요 풍습 김소월 김동환 
423	2013	
424	2015	관광 기념품 백제 문화권 기념품 
425	2012	근대 주거 변용 도시 재생 상하이 석고 문 이농 주택 신천지 
426	2011	혼합 장르 도시 재생 컨버전 디자인 호텔 
427	2013	스티븐 홀 현상학 의식 종합 거주 생성 
428	2013	
429	2014	현대 가상공간 효과 시각 컴퓨터 활용 디지털 제작 기법 부각 추세 중 3D 시뮬레이션 활용 방법 디지털 기술 발전 시각 표현 제약 3D 시뮬레이션 가상 디자인 요소 개발 전략 시각 응용 3D 시뮬레이션 활용 제주도 시청광장 모델 해석 초점 시민 의견 수렴 자료 조사 제주 시청 광장 현황 파악 최종 개선 모습 시각 진행 도시 광장 도시민 휴식 회합 행사 집회 사회 문화 표현 소통 기능 도시 예술 가치 창출 역할 시청광장 도시 대표 공공 건축물 광장 도시 정체성 도시 이미지 직접 관계 상징 의미 도시 도시 설계 기존 설계 도면 이미지 근래 3D 시뮬레이션 기법 사용 가상공간 재현 단계 발전 기반 3D 시뮬레이션 프로세스 공공 디자인 활용 방법 모색 지속 3D 
430	2015	논문 도시민 도시 환경 재현 해석 이미지 방식 개인 지각 생활 관계 변화 모양 방식 주목 서울 변화 도시 사람 변화 환경 관계 수립 대안 매핑 작업 수행 디자이너 주변 환경 친밀 관계 증진 시각 경험 외 감각 경험 의지 제안 지리학 자 철학자 이론가 참여 실천 현재 의식 전술 제시 논문 도시 접속 방법 염두 채 타이포그래피 사용 대안 그래픽 재현 도시 지식 정립 방법 검토 손 져지 질감 소리 냄새 행동 주변 환경 포착 도시 요소 한국어 의성어 의태어 대체 한글 타이포그래피 실험 탐색 궁극 목적 주관 감각 단어 지역 경관 역동 변화 규정 객관 묘사 방법 인지 매핑 도시 감각 의태어 타이포그래피 
431	2010	글 영업 시작 조선호텔 건축 과정 운영 방식 조선인 조선호텔 인식 관련 자료 문학 작품 중심 식민지 조선 조선호텔 고찰 목적 조선호텔 제국 건설 철도 호텔 경성 위치 점 상징 조선호텔 이전 규모 건축물 조선 왕조 제사 환구단 위치 당시 호텔 근대 문화 기제 이용객 제한 조선호텔 신분 계층 형성 지배 요소 사이 제국 식민지 조선 상황 조선호텔 위치 규모 식민지 확장 건설 식민지 지배 정책 교착 각종 사업 수행 철도 호텔 점 숙박 시설 제국 식민지 조선 현재 기능 점 동시대인 인식 방식 재현 조선호텔 제국 식민지 철도 호텔 경성 
432	2014	김시래 조선일보 신춘문예 동화 도둑 당선 문단 이후 동화 동극 동시 한시 단편소설 장르 창작 시도 생애 후반부 시작 활동 고시 계속 김시래 동해시 망상동 출신 함흥 사범학교 국민 대학 정치 학과 졸업 고향 거주 일생 김시래 문학 업적 창작 활동 이외 동해 문인 협회 결성 최인희 문학상 제정 해당 지역 문학 장과 제도 정립 역할 점 지역 문단 문화 활성 일생 동안 헌신 점 김시래 문학 가치 김시래 문학 동화 상상력 기초 동심 세계 지역 삶 기반 향토 세계로 특화 김시래 시 전통 향수 공존 세계 일상 시어 형상화 전통 향수 결합 시적 수사 긴장 유지 점 주목 김시래 시 로 컬리 티 현실 반영 언어 구성체 문학 근본 명제 확인 기제 김시래 시 미 자율 근대 시학 형성 경계 전통 향수 지역 결합 양태 체현 고유 로컬 히스토리 시적 양상 강원 지역 문학 장이 주목 김시래 문학 실정 의미 김시래 고향 문학 장 로 컬리 티 지역 문학 
433	2017	세계화 지역화 동시 진행 글 로컬 시대 중심 주변 이상 구획 대상 개체 다양성 차이 인정 수평 시선 확보 지역 문학 경우 틀 지역 문화 문학 필요 지역 문학 지역 문학 자산 관심 실천 시작 과거 지역 문학 지역 문학 자산 소개 정리 차원 현재 지역 문학 로 컬리 티 문제 중심 이동 나가야 로 컬리 티 구현 지역 활용 본고 관점 대구 경북 지역 문학 길 통시 공시 관점 점검 로 칼리 티 문제 관련 앞 대구 경북 지역 문학 방향 중점 부문 지역 문학 정체성 문제 매체 발굴 합 지역 문학 관련 각종 제도 주목 대상 범위 소통 확산 문제 지역 문학 글 로컬 로 컬리 티 매체 대구 경북 
434	2016	여수 지역 세계 박람회 개최 이후 지역 발전 인프라 개선 탐방객 해양 관광 도시 변모 관광 프로그램 차별 요구 여수 지역 임진왜란 동학혁명 의병 활동 여순사건 소재 역사 관광 목적 여순사건 사적지 다크 투어 즘 적용 검토 향후 지역 다크 투어 즘 코스 발굴 사적지 현황 관광 실태 파악 여순사건 시적 평가 근거 기존 관광 코스 독립 역사 관광 코스 사적지 관광 반영 현대사 관련 교육 상징 다크 투어 즘 적용 향후 지역 다크 투어 즘 발전 관광 협의체 구성 여순사건 관련 특별법 제정 추모 공원 역사박물관 건립 실정 다크 투어 즘 여순사건 여순사건 사적지 관광 협의체 
435	2016	정순응 로 컬리 티 리시 즘 실존 지역 문학 
436	2017	기념 특성 역사 기반 역사 야외 극 함유 제의 분석 중심 극 매체 신화 시공간 재현 고찰 기술 빅터 터너 관중 앞 무대 위 시간 점유 형태 메시지 전달 극 매체 연극 양식 함유 리미 티 특성 주목 집단 반성 틀 기능 고대 사회 제의 부합 예술 형식 주장 본고 바탕 프랑스 혁명 시기 발생 반혁명 역사 극 소재 방 역사 야외 극 시네 세니 집중 탐색 시네 세니 지역 공동체 공동 기억 체현 기반 스토리텔링 기법 역사 현장 공연 무대 설정 역사 야외 극 형식 역사 야외 극 실시간 전개 역사 무대 아우라 접촉 연희 자와 관객 현실 과거 특정 시공간 전이 리미 티 체험 기회 부여 기념 관점 시네 세니 특징 혁명 혼란기 지역 사회 전체 비극 체험 공연 콘텐츠 구현 문화 기억 매체 세대 전승 방 전쟁 과정 정부군 폭정 살상 희생 망자 집단 추모제 성격 문화 행사 정례 반복 18세기 프랑스 혁명기 정치 탄압 역사 초점 중세 시대 20세기 초엽 세기 반복 방 민중 삶 노정 보편 진리 영원 회귀 서사 구조 전개 결론 방 반혁명 역사 야외 극 시네 세니 공동체 과거사 기억 기념 표상 세대 전승 지역 고유 문화 산물 동시 현존 자신 근원 문화 유래 실존 성찰 도모 신화 사유 자세 기념 리미 티 문화 기억 역사 야외 극 방 
